run_name,dataset,class,mAP50-95
compound_yolo11n_sim2real,04_all_classes,Chart,0.6393381779415324
compound_yolo11n_sim2real,04_all_classes,Illustration,0.7225222168234482
compound_yolo11n_sim2real,04_all_classes,Image,0.8384754460903967
compound_yolo11n_sim2real,04_all_classes,Other,0.47471694735425746
compound_yolo11n_sim2real,04_all_classes,Shared Legend,0.07250039919239057
compound_yolo11n_sim2real,04_all_classes,Shared Title,0.028485975609756096
compound_yolo11n_sim2real,04_all_classes,Shared X-Axis,0.1495875423269856
compound_yolo11n_sim2real,04_all_classes,Shared Y-Axis,0.30478842854547566
compound_yolo11n_sim2real,04_all_classes,Subpanel,0.5764874712571257
compound_yolo11n_sim2real,04_all_classes,Table,0.9402668684012067
compound_yolo11s_sim2real,04_all_classes,Chart,0.848498402148179
compound_yolo11s_sim2real,04_all_classes,Illustration,0.8296002769863554
compound_yolo11s_sim2real,04_all_classes,Image,0.8821850447313251
compound_yolo11s_sim2real,04_all_classes,Other,0.5892584535171547
compound_yolo11s_sim2real,04_all_classes,Shared Legend,0.34707665454545455
compound_yolo11s_sim2real,04_all_classes,Shared Title,0.060405
compound_yolo11s_sim2real,04_all_classes,Shared X-Axis,0.4100485925485927
compound_yolo11s_sim2real,04_all_classes,Shared Y-Axis,0.404041375623495
compound_yolo11s_sim2real,04_all_classes,Subpanel,0.5498186858906622
compound_yolo11s_sim2real,04_all_classes,Table,0.971652049180328
compound_FINAL_medium_1280,04_all_classes,Chart,0.8837446491940207
compound_FINAL_medium_1280,04_all_classes,Illustration,0.8283893637656897
compound_FINAL_medium_1280,04_all_classes,Image,0.912563245188656
compound_FINAL_medium_1280,04_all_classes,Other,0.5715445001883801
compound_FINAL_medium_1280,04_all_classes,Shared Legend,0.2758982399027119
compound_FINAL_medium_1280,04_all_classes,Shared Title,0.02313213908450704
compound_FINAL_medium_1280,04_all_classes,Shared X-Axis,0.31457387955182076
compound_FINAL_medium_1280,04_all_classes,Shared Y-Axis,0.2974560326168929
compound_FINAL_medium_1280,04_all_classes,Subpanel,0.6212706953378309
compound_FINAL_medium_1280,04_all_classes,Table,0.9868722570532915
compound_FINAL_medium_1280_SMART_FINETUNE,04_all_classes,Chart,0.8546200223107118
compound_FINAL_medium_1280_SMART_FINETUNE,04_all_classes,Illustration,0.79559039507634
compound_FINAL_medium_1280_SMART_FINETUNE,04_all_classes,Image,0.8635169048736178
compound_FINAL_medium_1280_SMART_FINETUNE,04_all_classes,Other,0.5712023884213285
compound_FINAL_medium_1280_SMART_FINETUNE,04_all_classes,Shared Legend,0.24113591527637449
compound_FINAL_medium_1280_SMART_FINETUNE,04_all_classes,Shared Title,0.03140416666666668
compound_FINAL_medium_1280_SMART_FINETUNE,04_all_classes,Shared X-Axis,0.4943630773021018
compound_FINAL_medium_1280_SMART_FINETUNE,04_all_classes,Shared Y-Axis,0.3490142268112721
compound_FINAL_medium_1280_SMART_FINETUNE,04_all_classes,Subpanel,0.5250095999748725
compound_FINAL_medium_1280_SMART_FINETUNE,04_all_classes,Table,0.9861671874999999
comparison_small_1280_batch16,04_all_classes,Chart,0.8531862984016975
comparison_small_1280_batch16,04_all_classes,Illustration,0.8217640034144841
