epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.843,0.63519,1.42493,1.17125,0.37156,0.48538,0.41913,0.31278,0.92096,1.43497,1.42871,0.00332981,0.00332981,0.00332981
2,615.857,0.42282,0.50177,0.98075,0.59996,0.45151,0.49003,0.3964,0.73006,1.10313,1.26168,0.0065532,0.0065532,0.0065532
3,909.597,0.44526,0.49232,0.982,0.54746,0.47415,0.48336,0.35914,0.80586,1.19096,1.27722,0.0096666,0.0096666,0.0096666
4,1202.28,0.43446,0.4774,0.97274,0.6397,0.499,0.53563,0.45153,0.58485,0.9901,1.10529,0.009505,0.009505,0.009505
5,1494.72,0.39062,0.41726,0.94405,0.55651,0.59475,0.56631,0.47921,0.5792,0.91891,1.09811,0.00934,0.00934,0.00934
6,1787.32,0.36148,0.38198,0.92815,0.62553,0.51686,0.56392,0.47239,0.58888,0.85743,1.13887,0.009175,0.009175,0.009175
7,2079.87,0.34043,0.35417,0.91333,0.68829,0.60004,0.61712,0.51472,0.52473,0.70174,1.08515,0.00901,0.00901,0.00901
8,2372.52,0.32273,0.33519,0.90425,0.70101,0.53641,0.57282,0.47215,0.60294,0.87254,1.10357,0.008845,0.008845,0.008845
9,2665.06,0.30887,0.32291,0.89852,0.70008,0.566,0.60751,0.5309,0.48616,0.74769,1.05312,0.00868,0.00868,0.00868
10,2957.77,0.29994,0.31092,0.89151,0.669,0.58822,0.59565,0.51745,0.49015,0.71964,1.03396,0.008515,0.008515,0.008515
11,3250.22,0.29019,0.30048,0.88676,0.71027,0.63119,0.63383,0.54607,0.48114,0.6944,1.02435,0.00835,0.00835,0.00835
12,3542.92,0.27942,0.28677,0.88,0.71049,0.56904,0.61051,0.52614,0.48241,0.73212,1.01832,0.008185,0.008185,0.008185
13,3835.43,0.27324,0.28106,0.87685,0.67719,0.58804,0.60711,0.53582,0.4505,0.74108,0.9947,0.00802,0.00802,0.00802
14,4127.77,0.2669,0.27418,0.87341,0.68428,0.55746,0.6242,0.53058,0.49591,0.70821,1.03783,0.007855,0.007855,0.007855
15,4420.24,0.26025,0.26857,0.86998,0.74786,0.54884,0.60866,0.52927,0.45822,0.70292,0.99826,0.00769,0.00769,0.00769
16,4712.78,0.25392,0.26084,0.86675,0.6568,0.57382,0.61245,0.53094,0.46593,0.63432,1.02866,0.007525,0.007525,0.007525
17,5005.09,0.25033,0.25749,0.86514,0.628,0.59625,0.60937,0.53025,0.45114,0.72635,0.9752,0.00736,0.00736,0.00736
18,5297.71,0.24518,0.25039,0.86412,0.7186,0.61856,0.63848,0.54921,0.45196,0.62902,0.99508,0.007195,0.007195,0.007195
19,5590.52,0.23822,0.2465,0.85954,0.67895,0.59678,0.62067,0.53591,0.46727,0.65421,1.01477,0.00703,0.00703,0.00703
20,5883.28,0.23503,0.243,0.85726,0.78757,0.5517,0.63636,0.55029,0.45332,0.68537,0.99309,0.006865,0.006865,0.006865
21,6175.93,0.23201,0.23783,0.85645,0.62049,0.65248,0.65018,0.57078,0.4328,0.65765,0.97545,0.0067,0.0067,0.0067
22,6468.61,0.23001,0.23876,0.85645,0.6887,0.61437,0.63144,0.55569,0.44562,0.60617,1.00768,0.006535,0.006535,0.006535
23,6761.39,0.2262,0.23383,0.85311,0.7522,0.57357,0.61888,0.54543,0.43637,0.64266,0.97705,0.00637,0.00637,0.00637
24,7053.85,0.22228,0.22951,0.85251,0.72186,0.57639,0.62825,0.55234,0.43028,0.65385,0.97892,0.006205,0.006205,0.006205
25,7346.53,0.21973,0.22609,0.85021,0.76234,0.59457,0.62685,0.54964,0.44871,0.67076,0.99622,0.00604,0.00604,0.00604
26,7639.23,0.21733,0.22356,0.84877,0.72742,0.58833,0.61888,0.54705,0.44249,0.64165,0.99331,0.005875,0.005875,0.005875
27,7932.05,0.21396,0.22019,0.84623,0.77698,0.56343,0.6283,0.55452,0.44814,0.63666,0.98693,0.00571,0.00571,0.00571
28,8224.87,0.21085,0.21736,0.84585,0.70188,0.55773,0.59209,0.52568,0.45126,0.71558,1.00246,0.005545,0.005545,0.005545
29,8517.49,0.20809,0.21491,0.84364,0.7139,0.61804,0.64824,0.56976,0.43493,0.62198,0.98689,0.00538,0.00538,0.00538
30,8810.18,0.20477,0.21153,0.84423,0.78777,0.5696,0.60658,0.53816,0.43428,0.68653,0.9832,0.005215,0.005215,0.005215
31,9102.87,0.20058,0.20773,0.84242,0.74704,0.59064,0.62499,0.54757,0.42068,0.68828,0.95755,0.00505,0.00505,0.00505
32,9395.58,0.198,0.20436,0.84043,0.73119,0.59171,0.61846,0.54094,0.44079,0.72097,0.98776,0.004885,0.004885,0.004885
33,9688.35,0.19702,0.20264,0.83879,0.68779,0.568,0.61065,0.5385,0.43537,0.72518,0.98891,0.00472,0.00472,0.00472
34,9981.23,0.19375,0.1991,0.83804,0.71674,0.54705,0.59731,0.52813,0.42229,0.7421,0.96733,0.004555,0.004555,0.004555
35,10274.1,0.19069,0.19613,0.83761,0.64365,0.60213,0.61781,0.54915,0.41713,0.73657,0.95852,0.00439,0.00439,0.00439
36,10566.9,0.19019,0.19546,0.83639,0.67705,0.5582,0.61255,0.54078,0.42979,0.71619,0.97934,0.004225,0.004225,0.004225
37,10859.7,0.18631,0.19139,0.83487,0.69425,0.59045,0.61372,0.53921,0.42556,0.71032,0.96649,0.00406,0.00406,0.00406
38,11152.7,0.18432,0.19097,0.83568,0.72783,0.55651,0.60523,0.53465,0.43679,0.75503,0.97839,0.003895,0.003895,0.003895
39,11445.4,0.18237,0.18634,0.83324,0.7604,0.57453,0.62156,0.54661,0.42958,0.71589,0.96934,0.00373,0.00373,0.00373
40,11738,0.17852,0.18355,0.83168,0.6804,0.58513,0.61537,0.54388,0.42616,0.73174,0.96642,0.003565,0.003565,0.003565
41,12030.8,0.17801,0.18146,0.83111,0.67621,0.60891,0.62374,0.55035,0.41799,0.73236,0.96201,0.0034,0.0034,0.0034
42,12323.7,0.17576,0.18035,0.83015,0.65288,0.59264,0.61969,0.54688,0.42442,0.76641,0.97045,0.003235,0.003235,0.003235
43,12616.4,0.17459,0.17841,0.82915,0.72804,0.55818,0.6077,0.54044,0.4184,0.79505,0.95849,0.00307,0.00307,0.00307
44,12909.3,0.17113,0.17613,0.82778,0.7093,0.56835,0.60076,0.53729,0.41389,0.81995,0.95475,0.002905,0.002905,0.002905
45,13202.1,0.16965,0.17466,0.82896,0.77002,0.57499,0.62905,0.55562,0.40787,0.75236,0.94513,0.00274,0.00274,0.00274
46,13495.1,0.16851,0.1729,0.82795,0.71071,0.58322,0.62226,0.55118,0.41707,0.77573,0.9525,0.002575,0.002575,0.002575
