epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.919,0.60985,1.16812,1.17429,0.67919,0.46765,0.54865,0.42855,0.78027,1.05086,1.28016,0.00333157,0.00333157,0.00333157
2,1301.95,0.47611,0.59696,1.04336,0.49369,0.57994,0.5449,0.44642,0.65028,0.98141,1.16441,0.00658243,0.00658243,0.00658243
3,1934.84,0.50936,0.61837,1.05571,0.65693,0.51763,0.57022,0.45393,0.69459,0.97098,1.218,0.00975078,0.00975078,0.00975078
4,2567.54,0.50208,0.60782,1.04779,0.51866,0.65546,0.59591,0.48891,0.57903,0.84319,1.07976,0.00962875,0.00962875,0.00962875
5,3200.34,0.44723,0.5278,1.01035,0.58353,0.59595,0.60059,0.50945,0.54052,0.86426,1.06743,0.009505,0.009505,0.009505
6,3833.14,0.41123,0.4829,0.98677,0.59891,0.58497,0.59218,0.49538,0.54612,0.8796,1.08426,0.00938125,0.00938125,0.00938125
7,4465.36,0.38804,0.45093,0.97198,0.62775,0.56146,0.61672,0.52201,0.52391,0.7926,1.04703,0.0092575,0.0092575,0.0092575
8,5097.64,0.36741,0.42542,0.95725,0.67062,0.6302,0.65449,0.55188,0.50396,0.69875,1.00072,0.00913375,0.00913375,0.00913375
9,5730.06,0.35267,0.40762,0.94916,0.64291,0.57568,0.62606,0.53523,0.53713,0.78153,1.0494,0.00901,0.00901,0.00901
10,6362.01,0.33979,0.39054,0.93926,0.76316,0.56413,0.62893,0.5412,0.47851,0.85362,1.01334,0.00888625,0.00888625,0.00888625
11,6993.92,0.32878,0.3791,0.9315,0.61078,0.63918,0.63361,0.54308,0.48368,0.75325,0.9967,0.0087625,0.0087625,0.0087625
12,7626.37,0.32026,0.36575,0.92764,0.76034,0.53833,0.63023,0.55128,0.47211,0.78952,0.99209,0.00863875,0.00863875,0.00863875
