epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,667.766,0.19131,0.20821,0.84856,0.70212,0.58451,0.59619,0.52838,0.465,0.81776,1.0157,0.000237874,0.000237874,0.000237874
2,1304.76,0.23755,0.27132,0.87683,0.66242,0.59544,0.62706,0.54604,0.49224,0.82441,1.0005,0.000461598,0.000461598,0.000461598
3,1939.07,0.25692,0.29892,0.88759,0.86517,0.52271,0.59343,0.52008,0.48437,0.83915,1.01059,0.000671042,0.000671042,0.000671042
4,2571.54,0.25838,0.29529,0.888,0.76194,0.51889,0.59431,0.51379,0.50442,0.81393,1.03408,0.00064974,0.00064974,0.00064974
5,3203.49,0.25063,0.2873,0.8846,0.66283,0.54441,0.59295,0.51474,0.48992,0.85118,0.98617,0.00062832,0.00062832,0.00062832
6,3835.3,0.24639,0.2777,0.88472,0.69077,0.60174,0.62963,0.55443,0.45956,0.83975,0.98138,0.0006069,0.0006069,0.0006069
7,4467.78,0.23631,0.26856,0.87849,0.77073,0.57462,0.63021,0.55283,0.4691,0.73749,0.99016,0.00058548,0.00058548,0.00058548
8,5100.23,0.23156,0.25925,0.87474,0.68777,0.5795,0.61877,0.53174,0.47501,0.83919,0.9886,0.00056406,0.00056406,0.00056406
9,5732.45,0.22812,0.25828,0.87298,0.66644,0.56763,0.62567,0.54661,0.44787,0.77608,0.96742,0.00054264,0.00054264,0.00054264
10,6364.71,0.22347,0.24972,0.86926,0.75274,0.57667,0.62962,0.55488,0.45435,0.70941,0.96843,0.00052122,0.00052122,0.00052122
11,6994.12,0.2584,0.20128,0.80275,0.65789,0.58774,0.62639,0.54923,0.46246,0.80072,0.96638,0.0004998,0.0004998,0.0004998
12,7622.54,0.25445,0.19914,0.79903,0.74641,0.58834,0.67717,0.58591,0.46768,0.6772,1.02933,0.00047838,0.00047838,0.00047838
13,8251.57,0.25392,0.19369,0.79707,0.73525,0.61324,0.64922,0.56818,0.44501,0.79031,0.98951,0.00045696,0.00045696,0.00045696
14,8879.81,0.24337,0.17943,0.79014,0.69038,0.57785,0.6378,0.56134,0.47283,0.85695,0.98334,0.00043554,0.00043554,0.00043554
15,9508.08,0.24016,0.17756,0.79014,0.71101,0.59709,0.66715,0.58774,0.44765,0.772,0.97028,0.00041412,0.00041412,0.00041412
16,10136.8,0.2341,0.16807,0.78549,0.75872,0.59753,0.68668,0.604,0.44687,0.79978,0.98209,0.0003927,0.0003927,0.0003927
17,10766.3,0.23469,0.16384,0.78395,0.75646,0.58656,0.64135,0.5605,0.44546,0.85176,0.98384,0.00037128,0.00037128,0.00037128
18,11395,0.22806,0.16152,0.78137,0.70853,0.59213,0.64289,0.55788,0.45827,0.8085,1.01684,0.00034986,0.00034986,0.00034986
19,12023.8,0.22587,0.15715,0.77866,0.88645,0.55441,0.64758,0.57214,0.41968,0.76986,0.94227,0.00032844,0.00032844,0.00032844
20,12652.4,0.22481,0.15825,0.77982,0.7209,0.61331,0.64754,0.57584,0.43014,0.76374,0.9828,0.00030702,0.00030702,0.00030702
21,13279.9,0.22299,0.15415,0.77668,0.7392,0.57864,0.66607,0.58959,0.40906,0.75673,0.95269,0.0002856,0.0002856,0.0002856
22,13907.6,0.21809,0.15055,0.77749,0.75503,0.57394,0.67281,0.59743,0.40953,0.71091,0.94848,0.00026418,0.00026418,0.00026418
23,14535.5,0.21711,0.14861,0.77462,0.71898,0.60061,0.67553,0.60077,0.41198,0.66753,0.95653,0.00024276,0.00024276,0.00024276
24,15163.6,0.21159,0.1437,0.77379,0.74478,0.57547,0.67705,0.5984,0.41903,0.77878,0.97275,0.00022134,0.00022134,0.00022134
25,15791.8,0.20871,0.13976,0.76948,0.72254,0.59582,0.64159,0.58505,0.3958,0.74613,0.93022,0.00019992,0.00019992,0.00019992
26,16419.5,0.20582,0.13612,0.76876,0.72917,0.59802,0.67088,0.59196,0.42537,0.81702,0.98355,0.0001785,0.0001785,0.0001785
27,17047.2,0.20288,0.13333,0.76698,0.73728,0.58149,0.67237,0.59623,0.42291,0.7631,0.99288,0.00015708,0.00015708,0.00015708
28,17674.7,0.19956,0.13134,0.76911,0.75177,0.58957,0.66841,0.59936,0.40897,0.76751,0.97111,0.00013566,0.00013566,0.00013566
29,18302.2,0.19694,0.12751,0.76587,0.73527,0.57432,0.64516,0.58087,0.41117,0.85564,0.97474,0.00011424,0.00011424,0.00011424
30,18929.5,0.19391,0.12468,0.76439,0.74369,0.57028,0.64378,0.5751,0.41226,0.84121,0.97448,9.282e-05,9.282e-05,9.282e-05
