epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2938,0.46572,1.6832,0.98563,0.83979,0.21968,0.23952,0.18215,0.88779,2.08593,1.24805,0.000237274,0.000237274,0.000237274
2,96.6677,0.31397,0.56909,0.8913,0.86987,0.27227,0.28323,0.22905,0.83614,1.69824,1.17963,0.000465864,0.000465864,0.000465864
3,135.561,0.2918,0.45833,0.87846,0.40886,0.27866,0.27997,0.23237,0.83974,1.72807,1.17652,0.000685029,0.000685029,0.000685029
4,174.774,0.29055,0.41807,0.87954,0.64501,0.29601,0.30029,0.23379,0.8312,1.62747,1.20148,0.000671588,0.000671588,0.000671588
5,214.148,0.27395,0.37345,0.87258,0.66802,0.33587,0.30897,0.23586,0.81509,1.61077,1.17701,0.000657451,0.000657451,0.000657451
6,252.92,0.26157,0.34265,0.8688,0.66562,0.31085,0.32171,0.27123,0.77231,1.33273,1.11148,0.000643314,0.000643314,0.000643314
7,291.798,0.24902,0.32026,0.86506,0.77504,0.32948,0.34913,0.27292,0.70149,1.33147,1.06186,0.000629177,0.000629177,0.000629177
8,330.919,0.24372,0.30643,0.86221,0.78278,0.2877,0.34327,0.27039,0.74574,1.42773,1.07312,0.00061504,0.00061504,0.00061504
9,370.203,0.2396,0.29652,0.86094,0.65926,0.33546,0.37996,0.29815,0.75979,1.29353,1.10557,0.000600902,0.000600902,0.000600902
10,409.025,0.23126,0.28075,0.85914,0.76863,0.29775,0.31619,0.2525,0.76359,1.34743,1.14976,0.000586765,0.000586765,0.000586765
11,447.762,0.22629,0.27267,0.85663,0.72546,0.37288,0.38914,0.32075,0.64525,1.24993,0.98819,0.000572628,0.000572628,0.000572628
12,486.926,0.22213,0.26738,0.85814,0.44481,0.48175,0.4224,0.33725,0.62244,1.07862,0.99876,0.000558491,0.000558491,0.000558491
13,526.6,0.21958,0.26324,0.85549,0.37292,0.48417,0.40991,0.33146,0.65344,1.05824,1.01416,0.000544354,0.000544354,0.000544354
14,566.182,0.21329,0.25003,0.85348,0.2728,0.48512,0.4109,0.31557,0.64922,1.33539,0.99035,0.000530216,0.000530216,0.000530216
15,606.404,0.21391,0.24828,0.85429,0.34044,0.45006,0.39103,0.30849,0.69342,1.26108,1.06836,0.000516079,0.000516079,0.000516079
16,646.479,0.20779,0.24399,0.85356,0.35755,0.40475,0.32971,0.2343,0.88882,1.89707,1.27161,0.000501942,0.000501942,0.000501942
17,686.665,0.20315,0.23794,0.84968,0.34907,0.5063,0.42433,0.34547,0.62398,1.00962,0.99367,0.000487805,0.000487805,0.000487805
18,726.899,0.19995,0.23178,0.84729,0.7638,0.49719,0.49796,0.41223,0.56141,0.90314,0.94427,0.000473668,0.000473668,0.000473668
19,767.273,0.19962,0.2286,0.84758,0.46045,0.51739,0.45156,0.36513,0.55561,1.00429,0.93058,0.00045953,0.00045953,0.00045953
20,807.484,0.192,0.2199,0.84567,0.49906,0.52504,0.53176,0.42997,0.57782,0.88503,0.94431,0.000445393,0.000445393,0.000445393
21,847.728,0.19208,0.21706,0.84684,0.55996,0.50887,0.50506,0.40069,0.61759,1.00342,0.97801,0.000431256,0.000431256,0.000431256
22,888.187,0.19088,0.21701,0.84586,0.41539,0.53636,0.48945,0.40419,0.55421,0.8422,0.9339,0.000417119,0.000417119,0.000417119
23,928.782,0.18621,0.20877,0.84601,0.40524,0.52521,0.48102,0.40317,0.58216,0.85036,0.9551,0.000402982,0.000402982,0.000402982
24,969.531,0.18404,0.20802,0.84456,0.49077,0.54107,0.5182,0.41618,0.53738,0.79561,0.93513,0.000388844,0.000388844,0.000388844
25,1011.03,0.18168,0.20396,0.84371,0.43488,0.60666,0.48918,0.3956,0.51833,0.92071,0.90696,0.000374707,0.000374707,0.000374707
26,1051.61,0.17777,0.19774,0.84265,0.52517,0.60734,0.56402,0.46012,0.51227,0.79424,0.90857,0.00036057,0.00036057,0.00036057
27,1092.87,0.1774,0.19844,0.84065,0.42873,0.58936,0.5289,0.42734,0.49784,0.82954,0.90934,0.000346433,0.000346433,0.000346433
28,1134.78,0.17662,0.19587,0.84177,0.50573,0.53034,0.54544,0.44316,0.5211,0.86353,0.92559,0.000332296,0.000332296,0.000332296
29,1176.83,0.17349,0.19186,0.84012,0.48857,0.56479,0.56035,0.455,0.52803,0.79088,0.91808,0.000318158,0.000318158,0.000318158
30,1218.22,0.17099,0.19253,0.83865,0.56344,0.53003,0.58419,0.46949,0.53876,0.75651,0.93083,0.000304021,0.000304021,0.000304021
31,1259.87,0.16941,0.18754,0.83842,0.4407,0.56082,0.55756,0.4533,0.51094,0.79961,0.91325,0.000289884,0.000289884,0.000289884
32,1301.69,0.16706,0.18218,0.83836,0.80817,0.48669,0.56424,0.46641,0.527,0.81512,0.91252,0.000275747,0.000275747,0.000275747
33,1342.97,0.16415,0.17992,0.83771,0.50578,0.62077,0.5596,0.45085,0.51743,0.7863,0.90826,0.00026161,0.00026161,0.00026161
