epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5806,0.67239,2.35163,1.0809,0.42013,0.38143,0.3226,0.27652,0.55502,1.36896,0.95166,0.00331675,0.00331675,0.00331675
2,108.736,0.49558,0.87828,0.95723,0.37994,0.37046,0.29155,0.22627,0.63109,1.80706,1.04926,0.00651841,0.00651841,0.00651841
3,152.639,0.50346,0.75561,0.95454,0.13699,0.0878,0.01852,0.01054,1.56367,4.26473,2.1779,0.00958807,0.00958807,0.00958807
4,196.652,0.4972,0.69231,0.95156,0.29658,0.27914,0.24484,0.17257,0.73872,2.44653,1.15374,0.009406,0.009406,0.009406
5,240.493,0.44454,0.57722,0.93192,0.29195,0.33626,0.25659,0.18374,0.82403,2.07418,1.20125,0.009208,0.009208,0.009208
6,284.728,0.40779,0.50043,0.91698,0.31673,0.38571,0.31963,0.25717,0.69438,2.04218,1.12036,0.00901,0.00901,0.00901
7,329.005,0.38509,0.4493,0.9066,0.26586,0.33216,0.31139,0.25042,0.70599,1.96526,1.1343,0.008812,0.008812,0.008812
8,373.397,0.36045,0.40972,0.89729,0.47618,0.51055,0.47204,0.41681,0.42101,0.91592,0.88297,0.008614,0.008614,0.008614
9,417.354,0.34558,0.39092,0.8932,0.37879,0.54602,0.4217,0.36255,0.47044,1.33391,0.90666,0.008416,0.008416,0.008416
10,462.522,0.33301,0.36656,0.88811,0.45778,0.47188,0.44844,0.39333,0.44755,1.00597,0.91232,0.008218,0.008218,0.008218
11,507.319,0.32324,0.35161,0.88457,0.66502,0.45768,0.48409,0.43494,0.40755,1.10226,0.89908,0.00802,0.00802,0.00802
12,551.788,0.31353,0.33572,0.88121,0.52782,0.51225,0.49755,0.41727,0.42583,1.1359,0.85448,0.007822,0.007822,0.007822
13,595.796,0.30412,0.32375,0.87769,0.33773,0.34896,0.29474,0.2148,0.89406,2.26417,1.38369,0.007624,0.007624,0.007624
14,639.961,0.29656,0.31351,0.87487,0.53088,0.48045,0.49457,0.43849,0.37556,0.91467,0.86761,0.007426,0.007426,0.007426
15,683.897,0.2903,0.30352,0.87288,0.49775,0.56559,0.52297,0.45138,0.40534,0.97515,0.89813,0.007228,0.007228,0.007228
16,728.271,0.28405,0.29405,0.86936,0.50943,0.60151,0.5493,0.4852,0.33872,0.77645,0.83661,0.00703,0.00703,0.00703
17,772.46,0.27705,0.28732,0.86761,0.42677,0.51781,0.45689,0.40793,0.40615,1.08263,0.88332,0.006832,0.006832,0.006832
18,816.427,0.27178,0.27909,0.86523,0.49399,0.53455,0.51554,0.46077,0.39814,0.85812,0.88859,0.006634,0.006634,0.006634
19,861.409,0.26587,0.27271,0.86431,0.63755,0.51555,0.53206,0.47693,0.31786,0.84646,0.81571,0.006436,0.006436,0.006436
20,906.175,0.26147,0.26799,0.8632,0.53976,0.55049,0.53564,0.48142,0.32901,0.81015,0.84611,0.006238,0.006238,0.006238
21,950.183,0.25609,0.26073,0.86169,0.52467,0.52243,0.5212,0.4772,0.32986,0.87583,0.84366,0.00604,0.00604,0.00604
22,994.323,0.25245,0.25592,0.85913,0.5911,0.51948,0.5392,0.48082,0.30945,0.81814,0.81681,0.005842,0.005842,0.005842
23,1038.37,0.24926,0.25271,0.85799,0.56414,0.50717,0.50063,0.46327,0.32133,0.79067,0.83189,0.005644,0.005644,0.005644
24,1082.63,0.24165,0.24517,0.85708,0.64065,0.57038,0.59634,0.52609,0.28611,0.71457,0.80433,0.005446,0.005446,0.005446
25,1125.02,0.24158,0.24355,0.85645,0.52461,0.53602,0.53017,0.4844,0.2865,0.75279,0.8053,0.005248,0.005248,0.005248
26,1168.93,0.23657,0.23743,0.8542,0.53085,0.59092,0.55457,0.49698,0.29743,0.76008,0.81989,0.00505,0.00505,0.00505
27,1213.1,0.2315,0.23386,0.8529,0.56616,0.5838,0.57345,0.5137,0.29788,0.76171,0.82046,0.004852,0.004852,0.004852
28,1256.87,0.22853,0.22788,0.85155,0.52159,0.58671,0.55544,0.50338,0.2832,0.70511,0.81391,0.004654,0.004654,0.004654
29,1298.85,0.22532,0.22573,0.84978,0.60102,0.57359,0.56637,0.51064,0.29171,0.6878,0.8177,0.004456,0.004456,0.004456
30,1341.25,0.22218,0.22226,0.8491,0.61147,0.56772,0.57004,0.50898,0.2788,0.7595,0.81234,0.004258,0.004258,0.004258
31,1386.05,0.21748,0.21811,0.84852,0.59969,0.54678,0.56363,0.50154,0.29708,0.74904,0.82595,0.00406,0.00406,0.00406
32,1430.05,0.21565,0.21468,0.84779,0.54163,0.56307,0.56339,0.5052,0.30543,0.74853,0.84249,0.003862,0.003862,0.003862
33,1473.92,0.21305,0.21035,0.84702,0.54333,0.60753,0.56751,0.51125,0.28993,0.75242,0.81797,0.003664,0.003664,0.003664
34,1517.8,0.20788,0.20596,0.84454,0.54528,0.61793,0.56624,0.50916,0.28387,0.72729,0.82078,0.003466,0.003466,0.003466
35,1561.78,0.20615,0.20406,0.84638,0.57799,0.58226,0.56453,0.51036,0.26456,0.65212,0.80354,0.003268,0.003268,0.003268
36,1605.59,0.20368,0.19955,0.84463,0.52512,0.58577,0.58432,0.52414,0.27435,0.70066,0.81633,0.00307,0.00307,0.00307
37,1649.59,0.19833,0.19617,0.84193,0.53048,0.57221,0.56739,0.50825,0.26857,0.69737,0.80795,0.002872,0.002872,0.002872
38,1693.48,0.19636,0.19306,0.84148,0.54463,0.58104,0.58243,0.51757,0.26977,0.72463,0.81113,0.002674,0.002674,0.002674
39,1737.71,0.19355,0.19084,0.84234,0.53584,0.59384,0.58488,0.5248,0.27038,0.72539,0.8118,0.002476,0.002476,0.002476
40,1781.59,0.18797,0.18563,0.83893,0.54882,0.59863,0.56844,0.51371,0.2628,0.71505,0.80737,0.002278,0.002278,0.002278
41,1826.99,0.16297,0.14442,0.80997,0.57717,0.56364,0.55639,0.50365,0.29105,0.74496,0.83112,0.00208,0.00208,0.00208
42,1869.87,0.15427,0.13562,0.80722,0.63731,0.51012,0.55014,0.50016,0.27969,0.78821,0.82131,0.001882,0.001882,0.001882
43,1913.17,0.14913,0.1299,0.80606,0.63052,0.51041,0.5604,0.5091,0.27157,0.8275,0.81086,0.001684,0.001684,0.001684
44,1956.34,0.14488,0.12464,0.80473,0.5814,0.54218,0.5607,0.51068,0.26319,0.83484,0.80246,0.001486,0.001486,0.001486
45,2000.42,0.13982,0.12117,0.80298,0.56032,0.55557,0.55174,0.50224,0.2567,0.82611,0.79892,0.001288,0.001288,0.001288
46,2044.57,0.13568,0.11833,0.80425,0.65279,0.51053,0.55189,0.50488,0.25008,0.81702,0.79073,0.00109,0.00109,0.00109
47,2088.55,0.1313,0.11546,0.80144,0.59374,0.5626,0.56897,0.51958,0.25038,0.72484,0.79223,0.000892,0.000892,0.000892
48,2131.5,0.128,0.10978,0.80134,0.66917,0.52011,0.57633,0.52388,0.249,0.73836,0.79251,0.000694,0.000694,0.000694
49,2174.71,0.1239,0.10648,0.8002,0.64679,0.51694,0.57286,0.52174,0.25604,0.77212,0.79726,0.000496,0.000496,0.000496
50,2217.84,0.12007,0.10408,0.80084,0.59111,0.55237,0.57519,0.52361,0.25738,0.79483,0.79541,0.000298,0.000298,0.000298
