epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.626,0.50528,1.1728,1.05636,0.43793,0.44772,0.43984,0.3833,0.51249,0.99912,1.02812,0.000237556,0.000237556,0.000237556
2,328.5,0.38435,0.48764,0.9611,0.44936,0.47478,0.44707,0.37537,0.54055,1.27183,1.05537,0.000463786,0.000463786,0.000463786
3,482.358,0.38394,0.47256,0.96093,0.53944,0.52604,0.53901,0.46063,0.44953,0.79909,0.97338,0.000678235,0.000678235,0.000678235
4,632.498,0.33903,0.38844,0.93124,0.52603,0.55666,0.51157,0.45752,0.41196,0.78728,0.95538,0.000660986,0.000660986,0.000660986
5,783.937,0.3066,0.34506,0.91499,0.55817,0.4738,0.49493,0.40214,0.53633,1.15927,1.06833,0.000643314,0.000643314,0.000643314
6,935.288,0.28882,0.31715,0.90452,0.47003,0.60477,0.50986,0.44953,0.38962,0.87797,0.95113,0.000625642,0.000625642,0.000625642
7,1086.61,0.27205,0.29446,0.89536,0.57433,0.40477,0.49373,0.42236,0.56332,1.11054,1.10725,0.000607971,0.000607971,0.000607971
8,1234.79,0.25747,0.27938,0.88672,0.67786,0.52894,0.56613,0.48438,0.40107,0.78834,0.9538,0.0005903,0.0005903,0.0005903
9,1382.17,0.24841,0.26815,0.88227,0.64293,0.43601,0.45666,0.37252,0.51737,1.1576,1.03778,0.000572628,0.000572628,0.000572628
10,1527.48,0.23699,0.25352,0.87876,0.53814,0.58482,0.56873,0.50159,0.36949,0.74187,0.93207,0.000554956,0.000554956,0.000554956
11,1672.01,0.22764,0.24455,0.8755,0.57555,0.55736,0.54655,0.49625,0.36345,0.79118,0.92235,0.000537285,0.000537285,0.000537285
12,1818.16,0.22,0.23476,0.86993,0.60908,0.53959,0.57002,0.51498,0.35847,0.74146,0.92042,0.000519613,0.000519613,0.000519613
13,1970.03,0.21824,0.23352,0.86999,0.64637,0.55003,0.58046,0.5238,0.34253,0.70062,0.91869,0.000501942,0.000501942,0.000501942
14,2121.88,0.21027,0.22594,0.86533,0.61205,0.50303,0.55674,0.50411,0.35006,0.79293,0.91966,0.000484271,0.000484271,0.000484271
15,2273.45,0.20465,0.21796,0.86325,0.58132,0.5746,0.5751,0.51322,0.31734,0.75269,0.88868,0.000466599,0.000466599,0.000466599
16,2425.23,0.19902,0.21171,0.86012,0.61688,0.51611,0.5548,0.50255,0.33297,0.80089,0.90972,0.000448928,0.000448928,0.000448928
17,2577.63,0.19453,0.20492,0.85768,0.6292,0.53888,0.56932,0.52072,0.3325,0.75612,0.9105,0.000431256,0.000431256,0.000431256
18,2729.02,0.19094,0.20177,0.85772,0.56142,0.548,0.54938,0.50059,0.32139,0.76107,0.90285,0.000413584,0.000413584,0.000413584
19,2880.58,0.18603,0.19484,0.85557,0.60545,0.56054,0.58406,0.53084,0.30156,0.72244,0.88668,0.000395913,0.000395913,0.000395913
20,3032.37,0.18291,0.19099,0.85328,0.67449,0.51211,0.55614,0.50862,0.30373,0.73649,0.8939,0.000378242,0.000378242,0.000378242
21,3184.8,0.17999,0.18973,0.85268,0.67226,0.50894,0.55976,0.51306,0.30477,0.70971,0.88491,0.00036057,0.00036057,0.00036057
22,3336.34,0.17528,0.18431,0.84976,0.60549,0.50686,0.53683,0.4887,0.31438,0.86205,0.89489,0.000342899,0.000342899,0.000342899
23,3487.96,0.17519,0.18349,0.85007,0.62125,0.56172,0.57972,0.52727,0.31196,0.75915,0.89531,0.000325227,0.000325227,0.000325227
24,3639.47,0.16788,0.17675,0.84766,0.64675,0.54981,0.58899,0.53728,0.29157,0.68769,0.88039,0.000307555,0.000307555,0.000307555
25,3791.17,0.1632,0.17192,0.84479,0.62695,0.57591,0.57776,0.52795,0.2827,0.72795,0.88539,0.000289884,0.000289884,0.000289884
26,3942.56,0.16126,0.16968,0.84392,0.65307,0.5519,0.59693,0.54462,0.28715,0.71721,0.88582,0.000272212,0.000272212,0.000272212
27,4094.3,0.15739,0.16634,0.84323,0.61909,0.56122,0.58306,0.53135,0.29304,0.72888,0.89217,0.000254541,0.000254541,0.000254541
28,4245.86,0.1545,0.163,0.84244,0.68619,0.5513,0.59663,0.54621,0.27663,0.74456,0.87536,0.000236869,0.000236869,0.000236869
29,4397.59,0.1505,0.15778,0.8416,0.63686,0.57606,0.58801,0.53072,0.28679,0.78903,0.88316,0.000219198,0.000219198,0.000219198
30,4549,0.14983,0.15851,0.84136,0.66456,0.57663,0.60621,0.5497,0.27014,0.72153,0.86914,0.000201527,0.000201527,0.000201527
31,4700.88,0.13403,0.12715,0.80726,0.65631,0.51185,0.58017,0.52057,0.29179,0.7828,0.89397,0.000183855,0.000183855,0.000183855
32,4853.08,0.12745,0.11901,0.80367,0.62733,0.56963,0.59903,0.54376,0.27341,0.7714,0.86948,0.000166183,0.000166183,0.000166183
33,5004.47,0.12051,0.11416,0.8009,0.56902,0.56279,0.5855,0.53504,0.28367,0.76893,0.88465,0.000148512,0.000148512,0.000148512
34,5155.14,0.11738,0.11052,0.80101,0.64136,0.56615,0.60904,0.56047,0.27122,0.74773,0.86966,0.000130841,0.000130841,0.000130841
35,5305.52,0.11274,0.10548,0.79714,0.62033,0.61738,0.63434,0.57815,0.25368,0.70441,0.86037,0.000113169,0.000113169,0.000113169
36,5455.62,0.10903,0.10338,0.79557,0.62945,0.59155,0.62448,0.57486,0.25201,0.71412,0.85423,9.54975e-05,9.54975e-05,9.54975e-05
37,5605.6,0.10476,0.0994,0.79511,0.6364,0.60146,0.6334,0.57751,0.2451,0.71009,0.85166,7.7826e-05,7.7826e-05,7.7826e-05
38,5755.75,0.10304,0.09782,0.79468,0.78093,0.57176,0.62849,0.58008,0.24233,0.7299,0.84854,6.01545e-05,6.01545e-05,6.01545e-05
39,5906.29,0.09826,0.09292,0.79229,0.61728,0.59666,0.62535,0.5717,0.25417,0.72167,0.85967,4.2483e-05,4.2483e-05,4.2483e-05
40,6055.96,0.09542,0.0905,0.79197,0.62329,0.59845,0.62762,0.57305,0.25058,0.6982,0.85851,2.48115e-05,2.48115e-05,2.48115e-05
