epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.384,0.56945,1.10092,1.09298,0.59175,0.52473,0.5175,0.44901,0.55229,0.90264,1.07043,0.000237749,0.000237749,0.000237749
2,378.577,0.45425,0.58678,1.00305,0.63517,0.50572,0.54887,0.47645,0.50766,0.78954,1.02399,0.000463974,0.000463974,0.000463974
3,554.163,0.4222,0.5257,0.98121,0.64633,0.49682,0.57949,0.49199,0.49777,0.85388,1.01359,0.000678418,0.000678418,0.000678418
4,729.349,0.38793,0.46971,0.96053,0.68339,0.5155,0.58914,0.50925,0.47029,0.81022,1.00766,0.000660986,0.000660986,0.000660986
5,904.282,0.3556,0.43237,0.94308,0.5818,0.54071,0.57649,0.50788,0.45343,0.84667,0.99914,0.000643314,0.000643314,0.000643314
6,1079.08,0.33606,0.40186,0.9325,0.64766,0.61297,0.6207,0.54909,0.42544,0.74752,0.97631,0.000625642,0.000625642,0.000625642
7,1254.2,0.31687,0.37304,0.92121,0.6498,0.58081,0.60308,0.53931,0.40981,0.71838,0.9558,0.000607971,0.000607971,0.000607971
8,1429.02,0.30199,0.35591,0.91288,0.57719,0.64279,0.60723,0.53869,0.39776,0.74852,0.95039,0.0005903,0.0005903,0.0005903
9,1603.84,0.29464,0.35015,0.91174,0.66392,0.61848,0.61265,0.54316,0.38558,0.73577,0.95815,0.000572628,0.000572628,0.000572628
10,1778.54,0.28326,0.33531,0.90486,0.68637,0.5649,0.60349,0.5408,0.394,0.72359,0.97363,0.000554956,0.000554956,0.000554956
11,1953.37,0.27543,0.3251,0.90165,0.72852,0.59451,0.62695,0.55121,0.39764,0.66109,0.97184,0.000537285,0.000537285,0.000537285
12,2128.72,0.27004,0.31805,0.89885,0.645,0.6248,0.6506,0.57457,0.36881,0.66985,0.92974,0.000519613,0.000519613,0.000519613
13,2303.71,0.26176,0.30822,0.89396,0.71733,0.59963,0.62091,0.55249,0.37023,0.71303,0.93727,0.000501942,0.000501942,0.000501942
14,2478.82,0.25358,0.2973,0.89004,0.70332,0.58258,0.62549,0.55784,0.36522,0.68282,0.95154,0.000484271,0.000484271,0.000484271
15,2653.46,0.24671,0.28968,0.88661,0.69714,0.62955,0.63137,0.57135,0.3425,0.68069,0.92567,0.000466599,0.000466599,0.000466599
16,2828.34,0.24152,0.28596,0.8846,0.64254,0.64683,0.64039,0.57691,0.33577,0.63447,0.91304,0.000448928,0.000448928,0.000448928
17,3003.26,0.23782,0.28067,0.88369,0.70465,0.61925,0.64129,0.57858,0.32275,0.65017,0.89202,0.000431256,0.000431256,0.000431256
18,3178.29,0.23258,0.27461,0.88009,0.70781,0.60453,0.62595,0.56332,0.34688,0.70343,0.92631,0.000413584,0.000413584,0.000413584
19,3353.06,0.23042,0.27019,0.87859,0.7236,0.58142,0.62428,0.56382,0.32694,0.6567,0.90506,0.000395913,0.000395913,0.000395913
20,3527.4,0.22445,0.26432,0.87628,0.64116,0.62723,0.61987,0.56529,0.3395,0.66069,0.91457,0.000378242,0.000378242,0.000378242
21,3701.67,0.21952,0.26036,0.87533,0.69105,0.62934,0.62869,0.56778,0.33989,0.66562,0.92384,0.00036057,0.00036057,0.00036057
22,3875.78,0.21791,0.25555,0.87394,0.69543,0.58782,0.62893,0.56656,0.32131,0.67789,0.91084,0.000342899,0.000342899,0.000342899
23,4049.97,0.21129,0.24967,0.8703,0.67383,0.6583,0.64434,0.57971,0.32006,0.66145,0.89831,0.000325227,0.000325227,0.000325227
24,4224.28,0.20552,0.24194,0.86694,0.7027,0.62593,0.65691,0.58547,0.31913,0.66086,0.89594,0.000307555,0.000307555,0.000307555
25,4398.48,0.20284,0.23839,0.8671,0.7153,0.65966,0.6877,0.60818,0.3151,0.65771,0.89824,0.000289884,0.000289884,0.000289884
