epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.461,0.48763,0.76203,0.99226,0.15951,0.336,0.18363,0.09271,1.98274,2.4745,2.28226,0.000369176,0.000369176,0.000369176
2,296.33,0.38754,0.50692,0.91521,0.47208,0.27517,0.19761,0.09284,2.17521,2.53552,2.55777,0.000724867,0.000724867,0.000724867
3,437.582,0.37297,0.47479,0.89807,0.14538,0.28377,0.17258,0.08342,2.20588,3.72353,2.74868,0.00106589,0.00106589,0.00106589
4,577.848,0.34363,0.44356,0.88356,0.15254,0.39067,0.18539,0.09956,2.36622,2.76837,2.56298,0.00104501,0.00104501,0.00104501
5,718.622,0.30395,0.41414,0.86835,0.20881,0.30865,0.19757,0.09979,2.13103,3.0765,2.4941,0.00102301,0.00102301,0.00102301
6,859.151,0.29185,0.39648,0.86638,0.15284,0.42945,0.17991,0.09347,1.95207,2.93442,2.35216,0.00100101,0.00100101,0.00100101
7,999.208,0.27146,0.37525,0.85737,0.25155,0.28798,0.20675,0.10455,2.07637,2.46986,2.70282,0.000979013,0.000979013,0.000979013
8,1139.76,0.26298,0.36958,0.85176,0.29818,0.29084,0.26372,0.12258,2.08453,2.21562,2.42892,0.000957015,0.000957015,0.000957015
9,1280.16,0.25799,0.36033,0.85011,0.17343,0.2376,0.18861,0.1021,1.86972,2.55135,2.32151,0.000935018,0.000935018,0.000935018
10,1420.18,0.24275,0.34952,0.84773,0.18894,0.3897,0.20156,0.11398,1.64148,2.03757,2.0143,0.00091302,0.00091302,0.00091302
11,1560.38,0.24481,0.35058,0.84807,0.15385,0.27236,0.16331,0.08051,1.93134,2.46595,2.21656,0.000891022,0.000891022,0.000891022
12,1700.46,0.23174,0.33546,0.83825,0.22318,0.41658,0.24393,0.14498,1.79064,1.71879,1.90426,0.000869024,0.000869024,0.000869024
13,1841.49,0.22073,0.33016,0.8395,0.26297,0.4067,0.25338,0.14458,1.65981,1.97011,1.83421,0.000847026,0.000847026,0.000847026
14,1981.63,0.21426,0.32456,0.83552,0.25756,0.30263,0.29194,0.14335,1.60086,1.78208,1.76703,0.000825029,0.000825029,0.000825029
15,2121.83,0.20816,0.31984,0.83237,0.30406,0.25075,0.29798,0.15872,1.42223,1.59035,1.76966,0.000803031,0.000803031,0.000803031
16,2262.49,0.20386,0.31284,0.83041,0.22324,0.41543,0.24043,0.12187,1.85747,2.13215,1.96515,0.000781033,0.000781033,0.000781033
17,2402.61,0.19772,0.30797,0.83038,0.2283,0.33933,0.25429,0.1462,1.73106,1.84253,2.00047,0.000759035,0.000759035,0.000759035
18,2542.63,0.20073,0.31541,0.82939,0.25334,0.41925,0.26402,0.15317,1.9161,2.04485,2.18365,0.000737037,0.000737037,0.000737037
19,2682.59,0.19454,0.30654,0.82789,0.27756,0.37335,0.2965,0.16396,1.43921,1.48274,1.77256,0.00071504,0.00071504,0.00071504
20,2823.09,0.18687,0.29724,0.82557,0.23573,0.41467,0.27844,0.15652,1.76316,1.92654,1.94479,0.000693042,0.000693042,0.000693042
21,2963.24,0.18695,0.29864,0.82593,0.30724,0.42727,0.3154,0.17665,1.74767,2.01497,2.08058,0.000671044,0.000671044,0.000671044
22,3103.89,0.18244,0.29328,0.82623,0.26058,0.43371,0.28933,0.16831,1.66371,2.33354,1.93674,0.000649046,0.000649046,0.000649046
23,3243.88,0.1811,0.29345,0.82459,0.52875,0.30203,0.28571,0.1603,1.80275,2.25438,1.9732,0.000627048,0.000627048,0.000627048
24,3383.9,0.17739,0.29303,0.82433,0.26961,0.34164,0.26267,0.15407,1.70363,1.80351,1.87515,0.000605051,0.000605051,0.000605051
25,3523.83,0.16799,0.28254,0.82152,0.33366,0.46998,0.36146,0.21683,1.62533,1.58359,1.99353,0.000583053,0.000583053,0.000583053
26,3664.34,0.16852,0.28265,0.82122,0.22661,0.42071,0.25347,0.15128,2.2089,2.3154,2.24895,0.000561055,0.000561055,0.000561055
27,3804.25,0.16822,0.27723,0.82072,0.28692,0.41318,0.3336,0.20735,1.64949,1.68951,1.9351,0.000539057,0.000539057,0.000539057
28,3944.17,0.16146,0.2736,0.81649,0.30084,0.52183,0.33767,0.18978,1.35956,1.4514,1.65328,0.000517059,0.000517059,0.000517059
29,4085.53,0.16298,0.27638,0.81644,0.24953,0.3591,0.27638,0.16299,1.28109,1.52762,1.63524,0.000495062,0.000495062,0.000495062
30,4225.33,0.16506,0.279,0.81857,0.26926,0.34867,0.27135,0.15347,1.56641,2.05648,1.91555,0.000473064,0.000473064,0.000473064
