epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.371,0.51751,0.77766,1.02258,0.23817,0.29798,0.17699,0.08312,2.19199,2.74146,2.48323,0.000369176,0.000369176,0.000369176
2,229.195,0.38998,0.50333,0.91792,0.24819,0.33263,0.22002,0.10463,2.0401,2.88833,2.33096,0.000732188,0.000732188,0.000732188
3,337.444,0.36272,0.47321,0.901,0.27859,0.39539,0.23418,0.11951,1.91489,2.54239,2.337,0.00108787,0.00108787,0.00108787
4,445.645,0.332,0.43844,0.88603,0.16294,0.3306,0.19034,0.09157,2.31411,2.2261,2.54022,0.001078,0.001078,0.001078
5,553.31,0.32439,0.42291,0.88564,0.23663,0.4039,0.24563,0.12644,2.16899,2.90447,2.43771,0.001067,0.001067,0.001067
6,661.468,0.29263,0.39349,0.86934,0.18272,0.34292,0.19591,0.09192,2.09784,2.95011,2.43011,0.00105601,0.00105601,0.00105601
7,769.086,0.27976,0.39314,0.86602,0.25471,0.41462,0.25634,0.13649,2.07972,2.5456,2.38522,0.00104501,0.00104501,0.00104501
8,877.35,0.26135,0.37659,0.85802,0.49309,0.38575,0.30734,0.16139,1.96001,2.58361,2.41214,0.00103401,0.00103401,0.00103401
9,985.532,0.25005,0.35702,0.85174,0.25217,0.36021,0.25703,0.13544,1.75482,1.91773,2.153,0.00102301,0.00102301,0.00102301
10,1093.03,0.24259,0.35276,0.848,0.19032,0.37081,0.21106,0.10808,2.09594,2.8416,2.08631,0.00101201,0.00101201,0.00101201
11,1200.57,0.24453,0.34776,0.8508,0.24836,0.53048,0.27187,0.13839,2.00569,2.73295,2.1711,0.00100101,0.00100101,0.00100101
12,1308.04,0.23024,0.32995,0.84114,0.24239,0.4434,0.2532,0.14668,1.62696,1.93639,1.90835,0.000990012,0.000990012,0.000990012
13,1415.59,0.23131,0.32926,0.84204,0.24867,0.46497,0.31085,0.17577,1.83627,2.26079,1.9747,0.000979013,0.000979013,0.000979013
14,1523.49,0.22617,0.32949,0.84163,0.2668,0.45665,0.27341,0.14711,1.8645,2.20898,2.11918,0.000968014,0.000968014,0.000968014
15,1630.97,0.21676,0.31671,0.83942,0.21639,0.43745,0.27279,0.15493,2.27786,2.37566,2.41423,0.000957015,0.000957015,0.000957015
16,1738.37,0.22139,0.32295,0.84172,0.57042,0.30121,0.34308,0.17776,1.99514,2.086,2.20948,0.000946016,0.000946016,0.000946016
17,1846.19,0.21927,0.31655,0.84048,0.21646,0.45501,0.2523,0.13358,1.8355,2.58908,2.08046,0.000935018,0.000935018,0.000935018
18,1953.73,0.21112,0.30093,0.83665,0.32459,0.38084,0.29555,0.16706,1.66729,2.17174,1.95337,0.000924019,0.000924019,0.000924019
19,2061.48,0.20526,0.29674,0.83325,0.50311,0.43827,0.38887,0.20901,1.42888,1.63261,1.68343,0.00091302,0.00091302,0.00091302
20,2169.52,0.19766,0.2893,0.83019,0.30509,0.34872,0.30676,0.18315,1.8821,2.17007,2.1009,0.000902021,0.000902021,0.000902021
21,2277.1,0.19796,0.2882,0.83107,0.28255,0.42829,0.28641,0.16831,2.08787,2.99179,2.29063,0.000891022,0.000891022,0.000891022
22,2384.62,0.19362,0.27998,0.82947,0.36837,0.39594,0.33357,0.17801,1.84279,2.0561,1.9447,0.000880023,0.000880023,0.000880023
23,2492.14,0.19119,0.27949,0.82997,0.23492,0.33471,0.24828,0.13116,1.62131,2.00778,1.81225,0.000869024,0.000869024,0.000869024
24,2599.71,0.18887,0.28257,0.82817,0.45817,0.38033,0.38768,0.21911,2.09022,2.02543,2.13485,0.000858025,0.000858025,0.000858025
25,2707.78,0.19264,0.27996,0.82877,0.35559,0.3994,0.31139,0.18952,1.60381,1.87067,1.94528,0.000847026,0.000847026,0.000847026
26,2815.31,0.18712,0.27595,0.82739,0.30441,0.3497,0.29878,0.16898,1.90523,2.15624,2.16209,0.000836027,0.000836027,0.000836027
27,2922.79,0.18424,0.27273,0.82783,0.43058,0.33828,0.32348,0.19563,1.76329,2.23939,1.93798,0.000825029,0.000825029,0.000825029
28,3030.25,0.18425,0.271,0.82571,0.30548,0.45806,0.36607,0.21363,1.62747,1.59349,1.75853,0.00081403,0.00081403,0.00081403
29,3137.71,0.17729,0.26871,0.82529,0.40296,0.33913,0.26413,0.13777,1.9531,2.61587,2.08298,0.000803031,0.000803031,0.000803031
30,3245.26,0.17742,0.26558,0.82413,0.36495,0.40917,0.3102,0.18244,1.74509,1.93393,2.0134,0.000792032,0.000792032,0.000792032
31,3352.68,0.18071,0.26914,0.82446,0.40426,0.42237,0.38245,0.2236,1.95262,2.61937,2.15138,0.000781033,0.000781033,0.000781033
32,3460.7,0.17259,0.26038,0.82339,0.46703,0.44846,0.40569,0.25301,1.55211,1.92234,1.75121,0.000770034,0.000770034,0.000770034
33,3568.51,0.17475,0.26201,0.82415,0.32186,0.45659,0.32728,0.19135,1.80849,2.14268,1.98224,0.000759035,0.000759035,0.000759035
34,3675.91,0.17354,0.26162,0.82239,0.54433,0.34484,0.31109,0.17327,2.17771,2.72046,2.4053,0.000748036,0.000748036,0.000748036
35,3783.32,0.16722,0.25702,0.82338,0.28691,0.43217,0.32044,0.20407,1.82344,2.13094,2.0131,0.000737037,0.000737037,0.000737037
36,3890.78,0.16623,0.25144,0.8213,0.3534,0.32703,0.30104,0.17218,1.81948,1.97327,2.16064,0.000726038,0.000726038,0.000726038
37,3998.23,0.16621,0.25206,0.82048,0.27318,0.48432,0.33454,0.20206,1.91237,1.9284,1.96668,0.00071504,0.00071504,0.00071504
38,4105.66,0.16248,0.24713,0.81678,0.48359,0.37949,0.37194,0.2284,1.5689,2.00739,1.73239,0.000704041,0.000704041,0.000704041
39,4213.12,0.16412,0.24935,0.82155,0.39268,0.46473,0.41172,0.24895,1.48443,1.23537,1.84756,0.000693042,0.000693042,0.000693042
40,4320.52,0.1664,0.24802,0.82238,0.22661,0.37607,0.30805,0.18023,1.8672,2.31855,2.02533,0.000682043,0.000682043,0.000682043
