epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.588,0.54815,2.69742,1.05233,0.13045,0.29601,0.15645,0.07066,2.62248,16.6281,2.87348,0.0671031,0.000332292,0.000332292
2,228.045,0.4383,1.96969,0.95769,0.13323,0.32078,0.10606,0.04421,2.39481,14.4123,2.8454,0.034103,0.000665462,0.000665462
3,335.615,0.41787,1.89493,0.94236,0.13072,0.24656,0.127,0.06162,2.24495,14.0537,2.7973,0.00110215,0.000997983,0.000997983
4,442.945,0.39049,1.79409,0.92915,0.11459,0.15913,0.09101,0.04242,2.39684,20.6271,2.38656,0.000997803,0.000997803,0.000997803
5,550.334,0.36587,1.7146,0.91357,0.1545,0.37867,0.15332,0.07052,2.22033,11.4969,2.49155,0.000996097,0.000996097,0.000996097
6,657.67,0.34334,1.64749,0.89771,0.25642,0.39049,0.22792,0.1175,2.28779,9.16248,2.26193,0.000993906,0.000993906,0.000993906
7,765.515,0.32159,1.5871,0.88622,0.20827,0.37666,0.21175,0.10359,2.34404,12.4429,2.62447,0.000991232,0.000991232,0.000991232
8,873.339,0.30819,1.57531,0.88326,0.50316,0.38677,0.26158,0.12876,1.92178,10.9578,2.34293,0.000988079,0.000988079,0.000988079
9,980.947,0.31463,1.54721,0.87938,0.48149,0.33692,0.28321,0.15206,1.72072,7.43996,1.96203,0.000984449,0.000984449,0.000984449
10,1088.9,0.2941,1.47623,0.87227,0.28756,0.39168,0.27881,0.14181,2.30093,11.0004,2.66442,0.000980345,0.000980345,0.000980345
11,1196.17,0.27856,1.4451,0.867,0.22227,0.22371,0.20026,0.10315,2.07418,11.039,2.28822,0.000975773,0.000975773,0.000975773
12,1303.43,0.2758,1.43514,0.86553,0.37559,0.42227,0.23376,0.11219,2.06319,8.41889,2.33811,0.000970736,0.000970736,0.000970736
13,1410.74,0.27397,1.40455,0.86358,0.19565,0.3199,0.22854,0.11951,2.11012,10.3622,2.42782,0.000965239,0.000965239,0.000965239
14,1517.96,0.2586,1.37073,0.85818,0.26563,0.43708,0.27742,0.14092,2.11657,10.4163,2.45547,0.000959289,0.000959289,0.000959289
15,1625.36,0.25503,1.37799,0.86129,0.37635,0.11372,0.11386,0.04892,2.45237,11.8607,2.63078,0.000952889,0.000952889,0.000952889
16,1732.52,0.25912,1.39247,0.85953,0.17606,0.32639,0.17805,0.09662,2.13961,11.2101,2.64326,0.000946048,0.000946048,0.000946048
17,1839.68,0.25736,1.37221,0.85788,0.26078,0.40667,0.25834,0.11663,1.97873,7.6018,2.26339,0.000938772,0.000938772,0.000938772
18,1946.72,0.25395,1.37177,0.85904,0.3391,0.37712,0.30114,0.16114,1.78524,6.67183,2.07004,0.000931067,0.000931067,0.000931067
19,2054.19,0.2434,1.33099,0.85375,0.52451,0.36174,0.27778,0.13887,1.88016,6.77109,2.18541,0.000922942,0.000922942,0.000922942
20,2161.29,0.24341,1.3313,0.85166,0.25205,0.30757,0.27397,0.14851,1.66689,7.22381,1.78113,0.000914405,0.000914405,0.000914405
21,2268.34,0.24148,1.31193,0.85333,0.22775,0.31674,0.23675,0.13069,1.94658,9.39171,2.04811,0.000905463,0.000905463,0.000905463
22,2375.38,0.23253,1.28731,0.8508,0.38928,0.16484,0.13,0.06588,2.38715,12.4901,2.71683,0.000896127,0.000896127,0.000896127
23,2482.5,0.24101,1.2945,0.85256,0.27859,0.32272,0.26485,0.14476,1.83703,7.73897,2.09848,0.000886404,0.000886404,0.000886404
24,2589.64,0.24102,1.31017,0.85124,0.32578,0.35118,0.27158,0.13934,1.96736,7.08127,2.18057,0.000876305,0.000876305,0.000876305
25,2696.72,0.23715,1.29398,0.85127,0.32381,0.32491,0.26601,0.14741,1.77926,6.80821,1.95787,0.000865839,0.000865839,0.000865839
26,2803.76,0.2234,1.25965,0.84728,0.24116,0.42947,0.27544,0.148,1.53758,7.0418,1.77463,0.000855018,0.000855018,0.000855018
27,2910.81,0.21827,1.25056,0.84439,0.29514,0.45864,0.27693,0.14766,1.55591,6.72983,1.72527,0.000843851,0.000843851,0.000843851
28,3017.9,0.22187,1.25007,0.84518,0.2978,0.43653,0.31298,0.16355,2.2211,8.2996,2.19256,0.000832349,0.000832349,0.000832349
29,3125.6,0.21788,1.23902,0.84501,0.24175,0.46154,0.31147,0.15667,2.17971,7.69353,2.03032,0.000820525,0.000820525,0.000820525
30,3232.69,0.2133,1.23699,0.84286,0.39129,0.35727,0.32504,0.15905,1.71887,8.49271,1.84625,0.000808389,0.000808389,0.000808389
31,3339.86,0.21954,1.24954,0.84446,0.30316,0.33652,0.28948,0.15221,1.68011,7.63004,1.93062,0.000795954,0.000795954,0.000795954
32,3447.05,0.21033,1.24009,0.84251,0.28355,0.3844,0.25409,0.13302,2.05657,10.9439,2.31788,0.000783231,0.000783231,0.000783231
33,3554.22,0.20428,1.20375,0.84249,0.35508,0.38666,0.3087,0.16825,1.71977,7.85266,1.91568,0.000770234,0.000770234,0.000770234
34,3661.95,0.20279,1.20699,0.8397,0.24197,0.42204,0.26066,0.14758,1.86245,9.32919,2.01512,0.000756976,0.000756976,0.000756976
35,3769.17,0.20517,1.2206,0.84068,0.24538,0.54623,0.28071,0.14979,1.7674,6.82117,2.00518,0.000743468,0.000743468,0.000743468
36,3876.22,0.20618,1.19752,0.83895,0.35189,0.32353,0.30007,0.16671,2.07661,8.7822,2.25433,0.000729725,0.000729725,0.000729725
37,3983.27,0.20549,1.19896,0.83916,0.37375,0.39332,0.31741,0.17166,1.64996,6.05219,1.88906,0.000715761,0.000715761,0.000715761
38,4090.76,0.20138,1.18583,0.83782,0.27012,0.31901,0.26551,0.14654,1.91404,8.65699,2.11183,0.000701588,0.000701588,0.000701588
39,4197.97,0.2087,1.20808,0.84347,0.23021,0.48742,0.28379,0.15349,2.07501,10.9911,2.56549,0.000687222,0.000687222,0.000687222
40,4305.09,0.20087,1.1867,0.84065,0.30384,0.3679,0.2771,0.14451,1.9184,9.74975,2.08767,0.000672675,0.000672675,0.000672675
41,4412.24,0.20034,1.17943,0.83795,0.33062,0.42081,0.29161,0.16353,1.87911,8.23676,1.96198,0.000657963,0.000657963,0.000657963
42,4519.29,0.20056,1.18413,0.83988,0.36962,0.40173,0.34978,0.19661,1.99917,9.45165,2.22406,0.000643101,0.000643101,0.000643101
43,4626.88,0.19482,1.16414,0.83956,0.24623,0.31901,0.25563,0.14288,1.97084,9.35815,2.22671,0.000628101,0.000628101,0.000628101
44,4734.13,0.1975,1.1619,0.83909,0.25849,0.45008,0.2649,0.13795,2.0684,10.0373,2.32977,0.000612981,0.000612981,0.000612981
45,4841.29,0.18491,1.13033,0.83234,0.32132,0.42833,0.25897,0.14522,1.97073,10.4375,2.1643,0.000597754,0.000597754,0.000597754
46,4948.33,0.18514,1.133,0.83398,0.24666,0.43963,0.26374,0.14729,1.99281,10.4629,2.14125,0.000582435,0.000582435,0.000582435
47,5055.41,0.1954,1.15882,0.83766,0.33056,0.44717,0.34123,0.19298,1.7973,7.80137,1.8579,0.00056704,0.00056704,0.00056704
48,5162.56,0.19374,1.14955,0.83586,0.35786,0.44129,0.38034,0.19528,1.64576,5.89103,1.79747,0.000551584,0.000551584,0.000551584
49,5269.72,0.18308,1.13047,0.83131,0.34603,0.36045,0.29454,0.15298,1.72164,6.40031,1.89112,0.000536081,0.000536081,0.000536081
50,5376.92,0.17953,1.1245,0.83117,0.3163,0.33156,0.27862,0.16423,1.64951,7.3379,1.90289,0.000520548,0.000520548,0.000520548
51,5483.98,0.177,1.11746,0.83076,0.26006,0.38346,0.27973,0.14957,2.17512,8.10836,2.11604,0.000505,0.000505,0.000505
52,5591.1,0.16901,1.09742,0.82707,0.27518,0.33453,0.2838,0.1739,1.7323,6.53686,1.85611,0.000489452,0.000489452,0.000489452
53,5698.19,0.16731,1.0761,0.82545,0.39832,0.40234,0.35412,0.21296,1.80707,8.60683,2.09878,0.000473919,0.000473919,0.000473919
54,5805.72,0.17527,1.1004,0.8291,0.28349,0.4745,0.33371,0.1795,1.62213,6.66348,1.79263,0.000458416,0.000458416,0.000458416
55,5912.89,0.17154,1.09005,0.82898,0.25063,0.41298,0.29511,0.1741,1.73634,6.82736,1.80393,0.00044296,0.00044296,0.00044296
56,6020.04,0.1707,1.08091,0.8283,0.27478,0.37247,0.29528,0.17977,1.6258,6.78884,1.80992,0.000427565,0.000427565,0.000427565
57,6127.14,0.16835,1.07747,0.82586,0.30212,0.41234,0.31735,0.18773,1.55808,7.00855,1.76078,0.000412246,0.000412246,0.000412246
58,6234.2,0.16447,1.05753,0.82527,0.34235,0.3329,0.2912,0.17621,1.68862,8.67025,1.84808,0.000397019,0.000397019,0.000397019
59,6341.29,0.16233,1.05529,0.82685,0.29196,0.34746,0.2935,0.17759,1.59118,7.8598,1.87562,0.000381899,0.000381899,0.000381899
60,6448.38,0.1632,1.03797,0.82673,0.27776,0.4741,0.30549,0.17672,1.75477,8.36902,1.99011,0.000366899,0.000366899,0.000366899
61,6555.41,0.16104,1.0091,0.82553,0.39465,0.29432,0.30514,0.18708,1.80036,10.7073,1.98735,0.000352037,0.000352037,0.000352037
62,6662.4,0.15968,1.01419,0.82316,0.31493,0.41917,0.30355,0.17492,1.65744,10.5085,1.79748,0.000337325,0.000337325,0.000337325
63,6769.52,0.15784,1.00532,0.82339,0.33219,0.46428,0.34593,0.19949,1.6795,9.88441,1.84241,0.000322778,0.000322778,0.000322778
64,6876.59,0.15336,0.98526,0.82339,0.36575,0.38966,0.33792,0.20032,1.646,8.33545,1.76867,0.000308412,0.000308412,0.000308412
65,6983.64,0.15517,0.97654,0.82278,0.30234,0.3528,0.29069,0.17327,1.71941,8.6923,1.86743,0.000294239,0.000294239,0.000294239
66,7090.69,0.15441,0.98682,0.82328,0.34712,0.46247,0.3264,0.19719,1.70104,6.27827,1.84692,0.000280275,0.000280275,0.000280275
67,7197.75,0.15062,0.97259,0.82228,0.43092,0.40545,0.34182,0.20044,1.74742,6.38703,1.89832,0.000266532,0.000266532,0.000266532
68,7304.83,0.149,0.96049,0.82215,0.34344,0.40171,0.30105,0.18257,1.72184,8.12422,1.98438,0.000253024,0.000253024,0.000253024
69,7411.96,0.14769,0.94273,0.81835,0.34622,0.35045,0.30325,0.17826,1.83824,11.2394,2.16625,0.000239766,0.000239766,0.000239766
70,7519.11,0.14613,0.93307,0.81994,0.33902,0.34055,0.27499,0.1609,1.82759,10.5348,2.15375,0.000226769,0.000226769,0.000226769
71,7626.19,0.14564,0.92474,0.82097,0.36133,0.38152,0.30745,0.18846,1.8762,11.4909,2.247,0.000214046,0.000214046,0.000214046
72,7733.3,0.14289,0.90105,0.82052,0.4764,0.37746,0.32211,0.19815,1.81331,9.49285,2.02002,0.000201611,0.000201611,0.000201611
73,7840.38,0.14044,0.89377,0.82063,0.37114,0.34742,0.28939,0.17587,1.79289,9.84004,2.1139,0.000189475,0.000189475,0.000189475
