epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3246,0.75933,1.84936,1.11647,0.2039,0.30378,0.19137,0.10012,1.84072,2.61611,2.18614,0.000368019,0.000368019,0.000368019
2,55.7302,0.40626,0.68006,0.9228,0.18562,0.31178,0.23452,0.13938,1.29448,1.89996,1.51796,0.000701804,0.000701804,0.000701804
3,74.8904,0.36746,0.56991,0.89671,0.35968,0.15187,0.15423,0.09423,1.80404,2.81734,2.1034,0.000998926,0.000998926,0.000998926
4,93.8785,0.34154,0.50155,0.88564,0.84675,0.22745,0.26144,0.15466,1.34452,1.68649,1.50524,0.000946016,0.000946016,0.000946016
5,112.928,0.30956,0.44651,0.87217,0.17361,0.37993,0.23378,0.13225,1.72536,1.81809,1.58985,0.000891022,0.000891022,0.000891022
6,131.956,0.29674,0.41545,0.86312,0.67059,0.2415,0.23898,0.14324,1.60399,2.08261,1.56172,0.000836027,0.000836027,0.000836027
7,150.934,0.27982,0.38992,0.85978,0.17614,0.37138,0.21899,0.12525,1.68503,2.13131,1.74771,0.000781033,0.000781033,0.000781033
8,169.971,0.27169,0.36985,0.85234,0.28358,0.27595,0.27637,0.17003,1.29324,1.41472,1.38787,0.000726038,0.000726038,0.000726038
9,189.098,0.2572,0.35387,0.84955,0.53648,0.26671,0.31751,0.17984,1.61912,1.90754,1.62465,0.000671044,0.000671044,0.000671044
10,208.208,0.25409,0.34928,0.84673,0.24133,0.26537,0.21392,0.12897,1.71472,2.60459,1.7905,0.000616049,0.000616049,0.000616049
11,228.186,0.24511,0.32709,0.83373,0.27724,0.29336,0.26836,0.16453,1.55057,2.29763,1.54862,0.000561055,0.000561055,0.000561055
12,246.63,0.24522,0.30853,0.8312,0.4721,0.32482,0.26707,0.16863,1.36432,1.8701,1.36565,0.00050606,0.00050606,0.00050606
13,265.07,0.2187,0.28346,0.8227,0.68848,0.27813,0.27817,0.17653,1.5077,1.64568,1.46911,0.000451066,0.000451066,0.000451066
14,283.471,0.21139,0.26845,0.81616,0.39156,0.4586,0.21439,0.1218,1.87747,2.03798,1.65777,0.000396071,0.000396071,0.000396071
15,301.897,0.20283,0.2677,0.8163,0.5059,0.40971,0.33429,0.20201,1.41079,1.52087,1.49242,0.000341077,0.000341077,0.000341077
16,320.348,0.19648,0.25652,0.81196,0.5024,0.43304,0.3241,0.2003,1.53792,1.9259,1.56905,0.000286083,0.000286083,0.000286083
17,338.755,0.17973,0.24425,0.81022,0.54099,0.44773,0.38531,0.23947,1.42416,1.53276,1.4176,0.000231088,0.000231088,0.000231088
18,357.27,0.17379,0.23822,0.80811,0.60085,0.40693,0.3938,0.27268,1.449,1.63579,1.44686,0.000176094,0.000176094,0.000176094
19,375.774,0.16392,0.23015,0.80701,0.58957,0.40886,0.40445,0.26858,1.42632,1.73499,1.44379,0.000121099,0.000121099,0.000121099
20,394.242,0.15597,0.22212,0.80327,0.60845,0.41416,0.4109,0.2738,1.46326,1.82238,1.48045,6.61045e-05,6.61045e-05,6.61045e-05
