epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.4378,0.63913,1.18889,1.09301,0.2556,0.29672,0.19688,0.1107,1.65979,2.59076,2.01568,0.000368019,0.000368019,0.000368019
2,118.764,0.36661,0.5001,0.9027,0.17026,0.44282,0.2136,0.11791,1.83752,1.9916,1.90382,0.000723733,0.000723733,0.000723733
3,169.115,0.35033,0.45226,0.89054,0.12589,0.33666,0.17499,0.09497,1.58469,2.51604,1.65877,0.00106478,0.00106478,0.00106478
4,219.173,0.32368,0.41535,0.88252,0.19966,0.39972,0.20926,0.1127,1.66491,2.1596,1.7466,0.00104501,0.00104501,0.00104501
5,269.265,0.29256,0.38041,0.86681,0.18659,0.42614,0.22147,0.11487,1.69928,2.39143,1.73969,0.00102301,0.00102301,0.00102301
6,319.344,0.28186,0.36625,0.85904,0.41768,0.24178,0.23178,0.1242,1.64343,2.18314,1.79625,0.00100101,0.00100101,0.00100101
7,369.596,0.26437,0.35257,0.85276,0.71809,0.32929,0.30573,0.16731,1.82044,2.28453,1.89908,0.000979013,0.000979013,0.000979013
8,419.901,0.25416,0.33985,0.85157,0.20053,0.47515,0.24063,0.13557,1.97964,2.67431,2.16097,0.000957015,0.000957015,0.000957015
9,470,0.24448,0.328,0.84682,0.25644,0.37663,0.27769,0.14857,2.05998,2.887,2.1295,0.000935018,0.000935018,0.000935018
10,520.168,0.24243,0.32712,0.84617,0.29619,0.42337,0.31374,0.17688,1.968,2.77936,2.09018,0.00091302,0.00091302,0.00091302
11,570.687,0.23554,0.32165,0.84254,0.20547,0.33181,0.23321,0.12121,1.92045,2.99334,2.00568,0.000891022,0.000891022,0.000891022
12,620.83,0.23239,0.3083,0.83961,0.29126,0.5045,0.32878,0.16889,2.36238,2.60967,2.8695,0.000869024,0.000869024,0.000869024
13,670.97,0.22565,0.30607,0.83782,0.53693,0.31722,0.35854,0.20243,2.1951,2.43939,2.33236,0.000847026,0.000847026,0.000847026
14,721.248,0.21221,0.29311,0.83521,0.25078,0.46611,0.34203,0.19317,1.6285,1.92824,1.90828,0.000825029,0.000825029,0.000825029
15,771.374,0.21094,0.28711,0.83412,0.35182,0.35533,0.29024,0.15985,1.55762,2.32924,1.8541,0.000803031,0.000803031,0.000803031
16,821.545,0.206,0.28548,0.82846,0.33467,0.37193,0.30851,0.18733,2.17004,1.8546,2.37729,0.000781033,0.000781033,0.000781033
17,871.66,0.21071,0.28673,0.83322,0.38494,0.44198,0.38539,0.22494,1.64647,1.85474,1.77512,0.000759035,0.000759035,0.000759035
