epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.969,0.52474,1.93898,1.12475,0.76994,0.70816,0.78135,0.67536,0.65235,1.314,1.20472,0.00332919,0.00332919,0.00332919
2,332.01,0.36658,0.80561,0.98312,0.78757,0.73026,0.80732,0.70808,0.56833,0.87851,1.09893,0.0065306,0.0065306,0.0065306
3,482.607,0.39037,0.58708,0.98196,0.86153,0.79824,0.869,0.75895,0.57664,0.73298,1.18504,0.00960002,0.00960002,0.00960002
4,633.064,0.38214,0.49719,0.97272,0.84135,0.69716,0.80876,0.69855,0.70475,0.90287,1.32049,0.009406,0.009406,0.009406
5,782.646,0.34649,0.41573,0.9477,0.90983,0.80994,0.87628,0.78605,0.53273,0.68633,1.11908,0.009208,0.009208,0.009208
6,937.486,0.31901,0.37012,0.92913,0.61885,0.50206,0.51911,0.33897,1.33772,1.71276,2.21388,0.00901,0.00901,0.00901
7,1087.85,0.29886,0.34384,0.91855,0.88489,0.82337,0.87482,0.80118,0.47284,0.64376,1.03852,0.008812,0.008812,0.008812
8,1238.29,0.28806,0.32266,0.91289,0.90527,0.87029,0.90113,0.82856,0.44235,0.52151,1.02746,0.008614,0.008614,0.008614
9,1387.59,0.27536,0.30225,0.90335,0.85663,0.8446,0.88588,0.81394,0.432,0.55098,0.99832,0.008416,0.008416,0.008416
10,1537.72,0.26797,0.28892,0.89804,0.93502,0.85222,0.90753,0.84085,0.41385,0.50292,0.97836,0.008218,0.008218,0.008218
11,1688.18,0.26022,0.28042,0.89346,0.9103,0.84589,0.89765,0.82404,0.44599,0.53931,1.01761,0.00802,0.00802,0.00802
12,1839.45,0.25274,0.27283,0.89184,0.88903,0.87165,0.90885,0.84228,0.4031,0.49131,0.93781,0.007822,0.007822,0.007822
13,1989.49,0.24438,0.26018,0.88859,0.88697,0.89913,0.9263,0.86286,0.39894,0.44024,0.96097,0.007624,0.007624,0.007624
14,2139.79,0.23983,0.25628,0.88241,0.90853,0.87162,0.91691,0.84957,0.38613,0.47508,0.934,0.007426,0.007426,0.007426
15,2289.74,0.23717,0.24643,0.88102,0.90699,0.88871,0.92539,0.85853,0.37141,0.46832,0.92519,0.007228,0.007228,0.007228
16,2440.38,0.23197,0.23987,0.87816,0.91384,0.85142,0.91784,0.84889,0.39957,0.46054,0.95001,0.00703,0.00703,0.00703
17,2591.23,0.22766,0.2364,0.87476,0.90486,0.88855,0.92585,0.86686,0.37584,0.41282,0.91967,0.006832,0.006832,0.006832
18,2742.09,0.22605,0.23204,0.87321,0.93092,0.87324,0.92407,0.8627,0.3728,0.39487,0.93132,0.006634,0.006634,0.006634
19,2892.67,0.22005,0.22468,0.87237,0.92365,0.84918,0.92174,0.86405,0.36223,0.42539,0.88296,0.006436,0.006436,0.006436
20,3044.36,0.21599,0.22041,0.86734,0.90845,0.90142,0.93985,0.87623,0.35624,0.35558,0.8938,0.006238,0.006238,0.006238
21,3194.12,0.21158,0.21336,0.86621,0.91275,0.88558,0.93081,0.86968,0.35939,0.38997,0.88929,0.00604,0.00604,0.00604
22,3344.83,0.20928,0.21378,0.86543,0.94871,0.87373,0.92302,0.86179,0.37282,0.38387,0.91745,0.005842,0.005842,0.005842
23,3494.46,0.20567,0.20424,0.86305,0.96072,0.86439,0.94004,0.87868,0.34245,0.35449,0.87503,0.005644,0.005644,0.005644
24,3644.78,0.20189,0.20048,0.86228,0.90545,0.88196,0.9323,0.86983,0.34416,0.36563,0.87327,0.005446,0.005446,0.005446
25,3798.02,0.20015,0.19942,0.85996,0.91997,0.90482,0.93796,0.87493,0.35072,0.34202,0.87917,0.005248,0.005248,0.005248
26,3948.51,0.19716,0.19743,0.85781,0.92439,0.90283,0.92966,0.87463,0.33661,0.36445,0.8813,0.00505,0.00505,0.00505
27,4098.11,0.19465,0.19145,0.85607,0.9142,0.89428,0.9282,0.86752,0.34509,0.37386,0.88532,0.004852,0.004852,0.004852
28,4247.93,0.19114,0.18639,0.85542,0.89671,0.91138,0.92665,0.87359,0.3408,0.38256,0.87122,0.004654,0.004654,0.004654
29,4397.82,0.18932,0.18689,0.85486,0.94764,0.86801,0.92277,0.86462,0.34463,0.40689,0.88326,0.004456,0.004456,0.004456
30,4547.84,0.18702,0.18369,0.8532,0.91133,0.89286,0.93317,0.87067,0.34054,0.34727,0.85948,0.004258,0.004258,0.004258
31,4697.27,0.1844,0.17544,0.85026,0.93448,0.87319,0.94129,0.88503,0.32623,0.33835,0.84692,0.00406,0.00406,0.00406
32,4846.8,0.18277,0.17767,0.85118,0.93407,0.89226,0.93846,0.8821,0.32617,0.33687,0.84426,0.003862,0.003862,0.003862
33,4997.11,0.17981,0.17396,0.84849,0.94687,0.88384,0.93715,0.88114,0.32529,0.33893,0.85525,0.003664,0.003664,0.003664
34,5148.45,0.17624,0.1679,0.84796,0.9338,0.90456,0.93565,0.87743,0.33064,0.34854,0.86512,0.003466,0.003466,0.003466
35,5299.92,0.17551,0.16675,0.84673,0.94703,0.90325,0.93456,0.88347,0.32139,0.32329,0.84555,0.003268,0.003268,0.003268
36,5451.44,0.17115,0.16292,0.84446,0.95267,0.90416,0.93988,0.89212,0.31324,0.33204,0.83138,0.00307,0.00307,0.00307
37,5602.03,0.17001,0.16279,0.84365,0.9485,0.89846,0.93776,0.88341,0.31536,0.32161,0.83853,0.002872,0.002872,0.002872
38,5753.31,0.16823,0.15934,0.84166,0.92216,0.89759,0.93668,0.88272,0.31703,0.33017,0.83417,0.002674,0.002674,0.002674
39,5904.63,0.16656,0.15575,0.84203,0.94518,0.88133,0.93998,0.88532,0.31002,0.33103,0.8366,0.002476,0.002476,0.002476
40,6055.45,0.16153,0.1513,0.83986,0.93656,0.89212,0.93458,0.88178,0.312,0.33265,0.83677,0.002278,0.002278,0.002278
41,6205.85,0.23364,0.13473,0.78429,0.91049,0.89805,0.92933,0.88087,0.32,0.36128,0.8397,0.00208,0.00208,0.00208
42,6353.1,0.23215,0.12971,0.77909,0.93613,0.89973,0.93956,0.88967,0.31141,0.33503,0.83285,0.001882,0.001882,0.001882
43,6499.98,0.2281,0.12366,0.77417,0.93541,0.89573,0.94444,0.89533,0.31535,0.30936,0.83445,0.001684,0.001684,0.001684
44,6646.45,0.22758,0.12046,0.77302,0.94135,0.86736,0.9339,0.88888,0.31084,0.3412,0.83004,0.001486,0.001486,0.001486
45,6792.7,0.22344,0.11657,0.77171,0.93267,0.89536,0.94109,0.89589,0.3038,0.33356,0.83203,0.001288,0.001288,0.001288
46,6940.42,0.22204,0.11557,0.76867,0.95993,0.89938,0.94396,0.89895,0.30589,0.32095,0.83033,0.00109,0.00109,0.00109
47,7087.42,0.21634,0.11079,0.76801,0.95169,0.89806,0.94631,0.90213,0.29431,0.31504,0.82024,0.000892,0.000892,0.000892
48,7233.83,0.21946,0.10954,0.76698,0.94287,0.9013,0.94355,0.8992,0.29633,0.31871,0.8196,0.000694,0.000694,0.000694
49,7380.92,0.21334,0.10519,0.76529,0.94616,0.89471,0.94665,0.90145,0.29621,0.31351,0.81976,0.000496,0.000496,0.000496
50,7527.75,0.21315,0.10321,0.76301,0.9393,0.90625,0.95169,0.90479,0.29522,0.31151,0.81809,0.000298,0.000298,0.000298
